[40]rt_x,[40]rt_y,[40]rt_z,[41]rt_x,[41]rt_y,[41]rt_z,[42]rt_x,[42]rt_y,[42]rt_z,[43]rt_x,[43]rt_y,[43]rt_z,[44]rt_x,[44]rt_y,[44]rt_z,[45]rt_x,[45]rt_y,[45]rt_z,[46]rt_x,[46]rt_y,[46]rt_z,[47]rt_x,[47]rt_y,[47]rt_z,[48]rt_x,[48]rt_y,[48]rt_z,[49]rt_x,[49]rt_y,[49]rt_z,[50]rt_x,[50]rt_y,[50]rt_z,[51]rt_x,[51]rt_y,[51]rt_z,[52]rt_x,[52]rt_y,[52]rt_z,[53]rt_x,[53]rt_y,[53]rt_z,[54]rt_x,[54]rt_y,[54]rt_z,[55]rt_x,[55]rt_y,[55]rt_z,[56]rt_x,[56]rt_y,[56]rt_z,[57]rt_x,[57]rt_y,[57]rt_z,[58]rt_x,[58]rt_y,[58]rt_z,FingersNumber
-25.9112,0,-20.34775,22.7111,0,27.53631,15.73014,0,0,0,0,0,-15,0,-59.40608,0,0,-17.32821,0,0,-8.664104,0,0,0,0,0,-55.42999,0,0,-55.42999,0,0,-55.42999,0,0,0,15,0,-53.47361,0,0,-53.47361,0,0,-53.47361,0,0,0,25,0,-46.39844,0,0,-46.39844,0,0,-46.39844,2
-25.91539,0,-20.33404,22.70276,0,27.55004,15.71459,0,0,0,0,0,-15,0,-59.3045,0,0,-17.4298,0,0,-8.714899,0,0,0,0,0,-55.41933,0,0,-55.41933,0,0,-55.41933,0,0,0,15,0,-53.45744,0,0,-53.45744,0,0,-53.45744,0,0,0,25,0,-46.38874,0,0,-46.38874,0,0,-46.38874,2
-25.88147,0,-20.37374,22.77059,0,27.51034,15.701,0,0,0,0,0,-15,0,-59.4225,0,0,-17.3735,0,0,-8.686748,0,0,0,0,0,-55.44075,0,0,-55.44075,0,0,-55.44075,0,0,0,15,0,-53.49412,0,0,-53.49412,0,0,-53.49412,0,0,0,25,0,-46.38874,0,0,-46.38874,0,0,-46.38874,2
-25.84962,0,-20.41819,22.83429,0,27.46589,15.6871,0,0,0,0,0,-15,0,-59.52464,0,0,-17.34527,0,0,-8.672636,0,0,0,0,0,-55.46846,0,0,-55.46846,0,0,-55.46846,0,0,0,15,0,-53.52831,0,0,-53.52831,0,0,-53.52831,0,0,0,25,0,-46.38874,0,0,-46.38874,0,0,-46.38874,2
-25.86631,0,-20.42645,22.8009,0,27.45764,15.67329,0,0,0,0,0,-15,0,-59.46918,0,0,-17.45582,0,0,-8.72791,0,0,0,0,0,-55.4778,0,0,-55.4778,0,0,-55.4778,0,0,0,15,0,-53.53949,0,0,-53.53949,0,0,-53.53949,0,0,0,25,0,-46.40012,0,0,-46.40012,0,0,-46.40012,2
-25.87412,0,-20.41987,22.78528,0,27.46421,15.656,0,0,0,0,0,-15,0,-59.36989,0,0,-17.59405,0,0,-8.797027,0,0,0,0,0,-55.4848,0,0,-55.4848,0,0,-55.4848,0,0,0,15,0,-53.54461,0,0,-53.54461,0,0,-53.54461,0,0,0,25,0,-46.39785,0,0,-46.39785,0,0,-46.39785,2
-25.92996,0,-20.3213,22.67357,0,27.56277,15.63579,0,0,0,0,0,-15,0,-59.57415,0,0,-17.12737,0,0,-8.563683,0,0,0,0,0,-55.41655,0,0,-55.41655,0,0,-55.41655,0,0,0,15,0,-53.4639,0,0,-53.4639,0,0,-53.4639,0,0,0,25,0,-46.42954,0,0,-46.42954,0,0,-46.42954,2
-25.92088,0,-20.30681,22.69173,0,27.57726,15.61242,0,0,0,0,0,-15,0,-59.55116,0,0,-17.1991,0,0,-8.599548,0,0,0,0,0,-55.41463,0,0,-55.41463,0,0,-55.41463,0,0,0,15,0,-53.46252,0,0,-53.46252,0,0,-53.46252,0,0,0,25,0,-46.43581,0,0,-46.43581,0,0,-46.43581,2
-25.90961,0,-20.29946,22.71427,0,27.58462,15.58717,0,0,0,0,0,-15,0,-59.90503,0,0,-16.95084,0,0,-8.475422,0,0,0,0,0,-55.42224,0,0,-55.42224,0,0,-55.42224,0,0,0,15,0,-53.46811,0,0,-53.46811,0,0,-53.46811,0,0,0,25,0,-46.44629,0,0,-46.44629,0,0,-46.44629,2
-25.89253,0,-20.28838,22.74845,0,27.59571,15.56046,0,0,0,0,0,-15,0,-59.97306,0,0,-17.03128,0,0,-8.51564,0,0,0,0,0,-55.43288,0,0,-55.43288,0,0,-55.43288,0,0,0,15,0,-53.47491,0,0,-53.47491,0,0,-53.47491,0,0,0,25,0,-46.45606,0,0,-46.45606,0,0,-46.45606,2
