[40]rt_x,[40]rt_y,[40]rt_z,[41]rt_x,[41]rt_y,[41]rt_z,[42]rt_x,[42]rt_y,[42]rt_z,[43]rt_x,[43]rt_y,[43]rt_z,[44]rt_x,[44]rt_y,[44]rt_z,[45]rt_x,[45]rt_y,[45]rt_z,[46]rt_x,[46]rt_y,[46]rt_z,[47]rt_x,[47]rt_y,[47]rt_z,[48]rt_x,[48]rt_y,[48]rt_z,[49]rt_x,[49]rt_y,[49]rt_z,[50]rt_x,[50]rt_y,[50]rt_z,[51]rt_x,[51]rt_y,[51]rt_z,[52]rt_x,[52]rt_y,[52]rt_z,[53]rt_x,[53]rt_y,[53]rt_z,[54]rt_x,[54]rt_y,[54]rt_z,[55]rt_x,[55]rt_y,[55]rt_z,[56]rt_x,[56]rt_y,[56]rt_z,[57]rt_x,[57]rt_y,[57]rt_z,[58]rt_x,[58]rt_y,[58]rt_z,FingersNumber
-52.3335,0,-40.4546,-30.13197,0,7.429488,-4.190878,0,0,0,0,0,-15,0,1.009112,0,0,-0.3214162,0,0,-0.1607081,0,0,0,0,0,0.9600059,0,0,0.9600059,0,0,0.9600059,0,0,0,15,0,-79.46324,0,0,-79.46324,0,0,-79.46324,0,0,0,25,0,-95.1281,0,0,-95.1281,0,0,-95.1281,3
-52.36052,0,-40.44165,-30.18598,0,7.442437,-4.161068,0,0,0,0,0,-15,0,0.986243,0,0,-0.3387666,0,0,-0.1693833,0,0,0,0,0,0.9770118,0,0,0.9770118,0,0,0.9770118,0,0,0,15,0,-79.4252,0,0,-79.4252,0,0,-79.4252,0,0,0,25,0,-95.10577,0,0,-95.10577,0,0,-95.10577,3
-52.33566,0,-40.40117,-30.13625,0,7.482925,-4.24535,0,0,0,0,0,-15,0,0.9764063,0,0,-0.3557045,0,0,-0.1778523,0,0,0,0,0,0.9778588,0,0,0.9778588,0,0,0.9778588,0,0,0,15,0,-79.41298,0,0,-79.41298,0,0,-79.41298,0,0,0,25,0,-95.10583,0,0,-95.10583,0,0,-95.10583,3
-52.34038,0,-40.3929,-30.14569,0,7.491192,-4.244879,0,0,0,0,0,-15,0,0.9915931,0,0,-0.375552,0,0,-0.187776,0,0,0,0,0,0.9874948,0,0,0.9874948,0,0,0.9874948,0,0,0,15,0,-79.37441,0,0,-79.37441,0,0,-79.37441,0,0,0,25,0,-95.08084,0,0,-95.08084,0,0,-95.08084,3
-52.33827,0,-40.38301,-30.14148,0,7.50106,-4.259068,0,0,0,0,0,-15,0,0.9758071,0,0,-0.3853621,0,0,-0.192681,0,0,0,0,0,0.9830697,0,0,0.9830697,0,0,0.9830697,0,0,0,15,0,-79.33402,0,0,-79.33402,0,0,-79.33402,0,0,0,25,0,-95.0614,0,0,-95.0614,0,0,-95.0614,3
-52.34189,0,-40.3724,-30.14873,0,7.511672,-4.267312,0,0,0,0,0,-15,0,0.9640684,0,0,-0.3752608,0,0,-0.1876304,0,0,0,0,0,0.9863918,0,0,0.9863918,0,0,0.9863918,0,0,0,15,0,-79.32874,0,0,-79.32874,0,0,-79.32874,0,0,0,25,0,-95.07092,0,0,-95.07092,0,0,-95.07092,3
-52.33891,0,-40.37136,-30.14276,0,7.512714,-4.27045,0,0,0,0,0,-15,0,0.994593,0,0,-0.3811482,0,0,-0.1905741,0,0,0,0,0,0.9987304,0,0,0.9987304,0,0,0.9987304,0,0,0,15,0,-79.33578,0,0,-79.33578,0,0,-79.33578,0,0,0,25,0,-95.08943,0,0,-95.08943,0,0,-95.08943,3
-52.33314,0,-40.36657,-30.13123,0,7.517514,-4.266758,0,0,0,0,0,-15,0,1.079537,0,0,-0.4498196,0,0,-0.2249098,0,0,0,0,0,1.018564,0,0,1.018564,0,0,1.018564,0,0,0,15,0,-79.32189,0,0,-79.32189,0,0,-79.32189,0,0,0,25,0,-95.08755,0,0,-95.08755,0,0,-95.08755,3
-52.34231,0,-40.3583,-30.14956,0,7.525784,-4.272222,0,0,0,0,0,-15,0,1.205248,0,0,-0.5351942,0,0,-0.2675971,0,0,0,0,0,1.0703,0,0,1.0703,0,0,1.0703,0,0,0,15,0,-79.3136,0,0,-79.3136,0,0,-79.3136,0,0,0,25,0,-95.09076,0,0,-95.09076,0,0,-95.09076,3
-52.3486,0,-40.34997,-30.16215,0,7.534104,-4.243562,0,0,0,0,0,-15,0,1.164496,0,0,-0.5599422,0,0,-0.2799711,0,0,0,0,0,1.110312,0,0,1.110312,0,0,1.110312,0,0,0,15,0,-79.2936,0,0,-79.2936,0,0,-79.2936,0,0,0,25,0,-95.07807,0,0,-95.07807,0,0,-95.07807,3
-52.35144,0,-40.34566,-30.16783,0,7.538434,-4.249753,0,0,0,0,0,-15,0,1.104781,0,0,-0.5868828,0,0,-0.2934414,0,0,0,0,0,1.104028,0,0,1.104028,0,0,1.104028,0,0,0,15,0,-79.26092,0,0,-79.26092,0,0,-79.26092,0,0,0,25,0,-95.07081,0,0,-95.07081,0,0,-95.07081,3
-52.34781,0,-40.34235,-30.16054,0,7.54175,-4.244786,0,0,0,0,0,-15,0,1.02045,0,0,-0.6121482,0,0,-0.3060741,0,0,0,0,0,1.125824,0,0,1.125824,0,0,1.125824,0,0,0,15,0,-79.22937,0,0,-79.22937,0,0,-79.22937,0,0,0,25,0,-95.07616,0,0,-95.07616,0,0,-95.07616,3
