[40]rt_x,[40]rt_y,[40]rt_z,[41]rt_x,[41]rt_y,[41]rt_z,[42]rt_x,[42]rt_y,[42]rt_z,[43]rt_x,[43]rt_y,[43]rt_z,[44]rt_x,[44]rt_y,[44]rt_z,[45]rt_x,[45]rt_y,[45]rt_z,[46]rt_x,[46]rt_y,[46]rt_z,[47]rt_x,[47]rt_y,[47]rt_z,[48]rt_x,[48]rt_y,[48]rt_z,[49]rt_x,[49]rt_y,[49]rt_z,[50]rt_x,[50]rt_y,[50]rt_z,[51]rt_x,[51]rt_y,[51]rt_z,[52]rt_x,[52]rt_y,[52]rt_z,[53]rt_x,[53]rt_y,[53]rt_z,[54]rt_x,[54]rt_y,[54]rt_z,[55]rt_x,[55]rt_y,[55]rt_z,[56]rt_x,[56]rt_y,[56]rt_z,[57]rt_x,[57]rt_y,[57]rt_z,[58]rt_x,[58]rt_y,[58]rt_z,FingersNumber
-3.563976,0,-56.39795,67.40687,0,-8.510723,3.057118,0,0,0,0,0,-15,0,9.387907,0,0,28.31123,0,0,14.15562,0,0,0,0,0,3.117236,0,0,3.117236,0,0,3.117236,0,0,0,15,0,5.506978,0,0,5.506978,0,0,5.506978,0,0,0,25,0,32.7757,0,0,32.7757,0,0,32.7757,4
-3.728599,0,-56.11781,67.0776,0,-8.230597,2.711311,0,0,0,0,0,-15,0,10.34327,0,0,28.30386,0,0,14.15193,0,0,0,0,0,3.059673,0,0,3.059673,0,0,3.059673,0,0,0,15,0,6.491059,0,0,6.491059,0,0,6.491059,0,0,0,25,0,35.00095,0,0,35.00095,0,0,35.00095,4
-3.728599,0,-56.11781,67.0776,0,-8.230597,2.711311,0,0,0,0,0,-15,0,10.34327,0,0,28.30386,0,0,14.15193,0,0,0,0,0,3.059673,0,0,3.059673,0,0,3.059673,0,0,0,15,0,6.491059,0,0,6.491059,0,0,6.491059,0,0,0,25,0,35.00095,0,0,35.00095,0,0,35.00095,4
-3.728599,0,-56.11781,67.0776,0,-8.230597,2.711311,0,0,0,0,0,-15,0,10.34327,0,0,28.30386,0,0,14.15193,0,0,0,0,0,3.059673,0,0,3.059673,0,0,3.059673,0,0,0,15,0,6.491059,0,0,6.491059,0,0,6.491059,0,0,0,25,0,35.00095,0,0,35.00095,0,0,35.00095,4
-3.728599,0,-56.11781,67.0776,0,-8.230597,2.711311,0,0,0,0,0,-15,0,10.34327,0,0,28.30386,0,0,14.15193,0,0,0,0,0,3.059673,0,0,3.059673,0,0,3.059673,0,0,0,15,0,6.491059,0,0,6.491059,0,0,6.491059,0,0,0,25,0,35.00095,0,0,35.00095,0,0,35.00095,4
-3.711838,0,-56.16456,67.11114,0,-8.277336,2.711746,0,0,0,0,0,-15,0,10.5383,0,0,28.37808,0,0,14.18904,0,0,0,0,0,3.118025,0,0,3.118025,0,0,3.118025,0,0,0,15,0,6.473856,0,0,6.473856,0,0,6.473856,0,0,0,25,0,34.99916,0,0,34.99916,0,0,34.99916,4
-3.698879,0,-56.19783,67.13706,0,-8.310603,2.710775,0,0,0,0,0,-15,0,10.65786,0,0,28.41113,0,0,14.20556,0,0,0,0,0,3.154846,0,0,3.154846,0,0,3.154846,0,0,0,15,0,6.468459,0,0,6.468459,0,0,6.468459,0,0,0,25,0,34.989,0,0,34.989,0,0,34.989,4
-3.681641,0,-56.23181,67.17152,0,-8.344577,2.708734,0,0,0,0,0,-15,0,10.80562,0,0,28.4442,0,0,14.2221,0,0,0,0,0,3.197881,0,0,3.197881,0,0,3.197881,0,0,0,15,0,6.456014,0,0,6.456014,0,0,6.456014,0,0,0,25,0,34.97163,0,0,34.97163,0,0,34.97163,4
-3.655903,0,-56.27863,67.223,0,-8.391408,2.711,0,0,0,0,0,-15,0,10.95734,0,0,28.48074,0,0,14.24037,0,0,0,0,0,3.233915,0,0,3.233915,0,0,3.233915,0,0,0,15,0,6.439816,0,0,6.439816,0,0,6.439816,0,0,0,25,0,34.9436,0,0,34.9436,0,0,34.9436,4
-3.626042,0,-56.32981,67.28272,0,-8.442582,2.707278,0,0,0,0,0,-15,0,11.0984,0,0,28.51573,0,0,14.25786,0,0,0,0,0,3.268133,0,0,3.268133,0,0,3.268133,0,0,0,15,0,6.418265,0,0,6.418265,0,0,6.418265,0,0,0,25,0,34.91284,0,0,34.91284,0,0,34.91284,4
